Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Cherry1,Cherry,"<div><div><strong>Product code: </strong><span>500023009</span></div><div><strong>Professional warranty (in years): </strong><span>15 year limited light commercial / 10 year commercial</span></div><div><strong>Residential warranty (in years): </strong><span>25 year limited</span></div><div><strong>Pattern type: </strong><span>Wood</span></div><div><strong>Format Type: </strong><span>Plank</span></div><div><strong>Total thickness: </strong><span>0.395 "" (10 mm)</span></div><div><strong>Installation method: </strong><span>Angle-Drop</span></div><div><strong>Locking system: </strong><span>T-Lock</span></div></div>",Tarkett,Laminated,"15 year limited light commercial / 10 year commercial,25 year limited,Wood,Plank,0.395 "" (10 mm),Angle-Drop,T-Lock,Trends",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_500023009.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Factor 6 Antique3,Factor 6 Antique,"<div><div><strong>Product code: </strong><span>500030002</span></div><div><strong>Professional warranty (in years): </strong><span>5 year limited light commercial</span></div><div><strong>Residential warranty (in years): </strong><span>25 year limited</span></div><div><strong>Pattern type: </strong><span>Wood</span></div><div><strong>Total thickness: </strong><span>0.470 "" (12 mm)</span></div><div><strong>Installation method: </strong><span>Angle-Drop</span></div><div><strong>Locking system: </strong><span>T-Lock</span></div></div>",Tarkett,Laminated,"5 year limited light commercial,25 year limited,Wood,0.470 "" (12 mm),Angle-Drop,T-Lock,Trends 12",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_500030002.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Barnside Pine Pewter5,Barnside Pine Pewter,"<div><div><strong>Product code: </strong><span>500053004</span></div><div><strong>Professional warranty (in years): </strong><span>15 year limited light commercial / 10 year commercial</span></div><div><strong>Residential warranty (in years): </strong><span>25 years</span></div><div><strong>Pattern type: </strong><span>Wood</span></div><div><strong>Total thickness: </strong><span>0.470 "" (12 mm)</span></div><div><strong>Installation method: </strong><span>Angle-Drop</span></div><div><strong>Locking system: </strong><span>T-Lock</span></div></div>",Tarkett,Laminated,"15 year limited light commercial / 10 year commercial,25 years,Wood,0.470 "" (12 mm),Angle-Drop,T-Lock,Fresh Air",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_500053004.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Ridgeway Hickory Sable7,Ridgeway Hickory Sable,"<div><div><strong>Product code: </strong><span>500053003</span></div><div><strong>Professional warranty (in years): </strong><span>15 year limited light commercial / 10 year commercial</span></div><div><strong>Residential warranty (in years): </strong><span>25 years</span></div><div><strong>Pattern type: </strong><span>Wood</span></div><div><strong>Total thickness: </strong><span>0.470 "" (12 mm)</span></div><div><strong>Installation method: </strong><span>Angle-Drop</span></div><div><strong>Locking system: </strong><span>T-Lock</span></div></div>",Tarkett,Laminated,"15 year limited light commercial / 10 year commercial,25 years,Wood,0.470 "" (12 mm),Angle-Drop,T-Lock,Fresh Air",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_500053003.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Maple9,Maple,"<div><div><strong>Product code: </strong><span>500023003</span></div><div><strong>Professional warranty (in years): </strong><span>15 year limited light commercial / 10 year commercial</span></div><div><strong>Residential warranty (in years): </strong><span>25 year limited</span></div><div><strong>Pattern type: </strong><span>Wood</span></div><div><strong>Format Type: </strong><span>Plank</span></div><div><strong>Total thickness: </strong><span>0.395 "" (10 mm)</span></div><div><strong>Installation method: </strong><span>Angle-Drop</span></div><div><strong>Locking system: </strong><span>T-Lock</span></div></div>",Tarkett,Laminated,"15 year limited light commercial / 10 year commercial,25 year limited,Wood,Plank,0.395 "" (10 mm),Angle-Drop,T-Lock,Trends",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_500023003.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Sugar Maple11,Sugar Maple,"<div><div><strong>Product code: </strong><span>500016003</span></div><div><strong>Residential warranty (in years): </strong><span>20 years</span></div><div><strong>Pattern type: </strong><span>Wood</span></div><div><strong>Total thickness: </strong><span>0.315 "" (8 mm)</span></div><div><strong>Installation method: </strong><span>Angle-Tap</span></div><div><strong>Locking system: </strong><span>T-Lock</span></div></div>",Tarkett,Laminated,"20 years,Wood,0.315 "" (8 mm),Angle-Tap,T-Lock,Solutions",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_500016003.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Empire Oak13,Empire Oak,"<div><div><strong>Product code: </strong><span>500002014</span></div><div><strong>Residential warranty (in years): </strong><span>30 year limited</span></div><div><strong>Total thickness: </strong><span>0.360 "" (9.20 mm)</span></div><div><strong>Installation method: </strong><span>Angle-Tap</span></div><div><strong>Locking system: </strong><span>T-Lock</span></div></div>",Tarkett,Laminated,"30 year limited,0.360 "" (9.20 mm),Angle-Tap,T-Lock,Grovewood - A Menards' Exclusive",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_TC_Grovewood_EmpireOakShadow.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Royal Oak Cabana Brown15,Royal Oak Cabana Brown,"<div><div><strong>Product code: </strong><span>500023010</span></div><div><strong>Professional warranty (in years): </strong><span>5 year limited light commercial</span></div><div><strong>Residential warranty (in years): </strong><span>25 year limited</span></div><div><strong>Pattern type: </strong><span>Wood</span></div><div><strong>Total thickness: </strong><span>0.470 "" (12 mm)</span></div><div><strong>Installation method: </strong><span>Angle-Drop</span></div><div><strong>Locking system: </strong><span>T-Lock</span></div></div>",Tarkett,Laminated,"5 year limited light commercial,25 year limited,Wood,0.470 "" (12 mm),Angle-Drop,T-Lock,Trends 12",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_500023010.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Rawhide17,Rawhide,"<div><div><strong>Product code: </strong><span>42143158</span></div><div><strong>Professional warranty (in years): </strong><span>15 year limited light commercial / 10 year commercial</span></div><div><strong>Residential warranty (in years): </strong><span>Lifetime limited</span></div><div><strong>Pattern type: </strong><span>Wood</span></div><div><strong>Format Type: </strong><span>Plank</span></div><div><strong>Total thickness: </strong><span>0.315 "" (8 mm)</span></div><div><strong>Installation method: </strong><span>Angle-Drop (5G)</span></div><div><strong>Locking system: </strong><span>T-Lock</span></div></div>",Tarkett,Laminated,"15 year limited light commercial / 10 year commercial,Lifetime limited,Wood,Plank,0.315 "" (8 mm),Angle-Drop (5G),T-Lock,Vintage",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_42143158.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Heart Pine Natural19,Heart Pine Natural,"<div><div><strong>Product code: </strong><span>500053007</span></div><div><strong>Professional warranty (in years): </strong><span>15 year limited light commercial / 10 year commercial</span></div><div><strong>Residential warranty (in years): </strong><span>25 years</span></div><div><strong>Pattern type: </strong><span>Wood</span></div><div><strong>Total thickness: </strong><span>0.470 "" (12 mm)</span></div><div><strong>Installation method: </strong><span>Angle-Drop</span></div><div><strong>Locking system: </strong><span>T-Lock</span></div></div>",Tarkett,Laminated,"15 year limited light commercial / 10 year commercial,25 years,Wood,0.470 "" (12 mm),Angle-Drop,T-Lock,Fresh Air",TRUE,,,,,,,1,,,0,deny,manual,,,,,,https://media.tarkett-image.com/small/TH_500053007.jpg,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
